freq,indic_ur,cities\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE2001I,AT	: 	93 	: 	: 	91 	91 	91 	91 	91 	92 	92 	91 	: 	: 	91 	91 	90 	90 	90 	90 	: 	: 	: 	88 	87 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,BE	: 	91 	91 	91 	91 	91 	91 	91 	91 	92 	92 	92 	92 	: 	92 	92 	91 	91 	91 	91 	90 	89 	89 	89 	89 	88 	88 	88 	88 	88 	87 	87 	87 
A,DE2001I,BE001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83 	81 	80 	: 	80 	79 	79 	79 	79 	79 	78 	81 	81 
A,DE2001I,BE002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	88 	88 	87 	87 	87 	87 	87 	86 	86 	86 	86 	86 
A,DE2001I,BE003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	93 	93 	: 	93 	92 	92 	92 	92 	91 b	91 b	91 	91 
A,DE2001I,BE004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88 	88 	88 	88 	88 	88 	88 	89 	89 	89 	88 	89 	89 
A,DE2001I,BE005F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	89 	88 
A,DE2001I,BE006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	97 	97 	96 	96 	96 	96 	96 	95 	95 	95 	95 	94 
A,DE2001I,BE007F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	95 	94 	94 	94 	94 	94 	94 	94 	94 	93 	94 	93 
A,DE2001I,BE009F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 
A,DE2001I,BE010F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	96 	96 	95 	95 	95 	95 	95 	94 	94 	94 	92 	92 
